%  30/10/2005                                                                   
%                                                                               
% Fields of LDCv2 detector ( copy of Mokka db fieldmaps00 )                     
% anti-DID optimized to direct pairs into extraction hole                       
%                                                                               
%  z(cm)            Bz(kGauss)         Br(kG)       Bx_DID(kG)         
% (here Br is on the ideal beam axis, with half angle 0.007rad)                 
%-----------------------------------------------------------------    
      600
      0.6900E+02   0.3513555E+02  -0.6973427E-04   0.9317919E-02
      0.7000E+02   0.3513582E+02  -0.6645734E-04   0.9883265E-02
      0.7100E+02   0.3513609E+02  -0.6740673E-04   0.1046510E-01
      0.7200E+02   0.3513635E+02  -0.6615108E-04   0.1106353E-01
      0.7300E+02   0.3513658E+02  -0.5812720E-04   0.1167862E-01
      0.7400E+02   0.3513681E+02  -0.6118975E-04   0.1231047E-01
      0.7500E+02   0.3513704E+02  -0.5971973E-04   0.1295916E-01
      0.7600E+02   0.3513724E+02  -0.5120584E-04   0.1362476E-01
      0.7700E+02   0.3513742E+02  -0.4952144E-04   0.1430733E-01
      0.7800E+02   0.3513761E+02  -0.5255336E-04   0.1500693E-01
      0.7900E+02   0.3513776E+02  -0.4113005E-04   0.1572365E-01
      0.8000E+02   0.3513790E+02  -0.3920064E-04   0.1645750E-01
      0.8100E+02   0.3513804E+02  -0.3969065E-04   0.1720855E-01
      0.8200E+02   0.3513814E+02  -0.2762420E-04   0.1797683E-01
      0.8300E+02   0.3513822E+02  -0.2541917E-04   0.1876239E-01
      0.8400E+02   0.3513830E+02  -0.2315288E-04   0.1956524E-01
      0.8500E+02   0.3513835E+02  -0.1301584E-04   0.2038543E-01
      0.8600E+02   0.3513835E+02  -0.2633793E-05   0.2122295E-01
      0.8700E+02   0.3513837E+02  -0.5328837E-05   0.2207782E-01
      0.8800E+02   0.3513835E+02   0.5390088E-05   0.2295008E-01
      0.8900E+02   0.3513829E+02   0.1907969E-04   0.2383970E-01
      0.9000E+02   0.3513823E+02   0.1929407E-04   0.2474668E-01
      0.9100E+02   0.3513815E+02   0.2786921E-04   0.2567102E-01
      0.9200E+02   0.3513800E+02   0.4789828E-04   0.2661271E-01
      0.9300E+02   0.3513785E+02   0.4841892E-04   0.2757171E-01
      0.9400E+02   0.3513768E+02   0.5469715E-04   0.2854803E-01
      0.9500E+02   0.3513744E+02   0.8146383E-04   0.2954161E-01
      0.9600E+02   0.3513719E+02   0.8232135E-04   0.3055243E-01
      0.9700E+02   0.3513695E+02   0.8317886E-04   0.3158045E-01
      0.9800E+02   0.3513659E+02   0.1230533E-03   0.3262561E-01
      0.9900E+02   0.3513624E+02   0.1212770E-03   0.3368787E-01
      0.1000E+03   0.3513589E+02   0.1225020E-03   0.3476718E-01
      0.1010E+03   0.3513542E+02   0.1670315E-03   0.3586346E-01
      0.1020E+03   0.3513494E+02   0.1686853E-03   0.3697666E-01
      0.1030E+03   0.3513447E+02   0.1703390E-03   0.3810670E-01
      0.1040E+03   0.3513389E+02   0.2102134E-03   0.3925349E-01
      0.1050E+03   0.3513328E+02   0.2250974E-03   0.4041697E-01
      0.1060E+03   0.3513268E+02   0.2239949E-03   0.4159704E-01
      0.1070E+03   0.3513196E+02   0.2687081E-03   0.4279361E-01
      0.1080E+03   0.3513121E+02   0.2844497E-03   0.4400658E-01
      0.1090E+03   0.3513045E+02   0.2870834E-03   0.4523584E-01
      0.1100E+03   0.3512960E+02   0.3267741E-03   0.4648129E-01
      0.1110E+03   0.3512868E+02   0.3603396E-03   0.4774283E-01
      0.1120E+03   0.3512776E+02   0.3601559E-03   0.4902031E-01
      0.1130E+03   0.3512676E+02   0.3945177E-03   0.5031363E-01
      0.1140E+03   0.3512566E+02   0.4399047E-03   0.5162265E-01
      0.1150E+03   0.3512456E+02   0.4437635E-03   0.5294726E-01
      0.1160E+03   0.3512338E+02   0.4760428E-03   0.5428728E-01
      0.1170E+03   0.3512209E+02   0.5303112E-03   0.5564261E-01
      0.1180E+03   0.3512078E+02   0.5420714E-03   0.5701308E-01
      0.1190E+03   0.3511945E+02   0.5539541E-03   0.5839855E-01
      0.1200E+03   0.3511791E+02   0.6431355E-03   0.5979886E-01
      0.1210E+03   0.3511639E+02   0.6447893E-03   0.6121383E-01
      0.1220E+03   0.3511485E+02   0.6575908E-03   0.6264332E-01
      0.1230E+03   0.3511309E+02   0.7571543E-03   0.6408716E-01
      0.1240E+03   0.3511132E+02   0.7709051E-03   0.6554516E-01
      0.1250E+03   0.3510956E+02   0.7694657E-03   0.6701714E-01
      0.1260E+03   0.3510755E+02   0.8875270E-03   0.6850294E-01
      0.1270E+03   0.3510551E+02   0.9062392E-03   0.7000236E-01
      0.1280E+03   0.3510348E+02   0.9094549E-03   0.7151520E-01
      0.1290E+03   0.3510121E+02   0.1023229E-02   0.7304128E-01
      0.1300E+03   0.3509888E+02   0.1059030E-02   0.7458039E-01
      0.1310E+03   0.3509656E+02   0.1063164E-02   0.7613234E-01
      0.1320E+03   0.3509402E+02   0.1176387E-02   0.7769690E-01
      0.1330E+03   0.3509137E+02   0.1234177E-02   0.7927388E-01
      0.1340E+03   0.3508872E+02   0.1243457E-02   0.8086306E-01
      0.1350E+03   0.3508588E+02   0.1339559E-02   0.8246422E-01
      0.1360E+03   0.3508288E+02   0.1428618E-02   0.8407714E-01
      0.1370E+03   0.3507988E+02   0.1439123E-02   0.8570159E-01
      0.1380E+03   0.3507671E+02   0.1529928E-02   0.8733734E-01
      0.1390E+03   0.3507332E+02   0.1651695E-02   0.8898417E-01
      0.1400E+03   0.3506992E+02   0.1663577E-02   0.9064186E-01
      0.1410E+03   0.3506640E+02   0.1735915E-02   0.9231005E-01
      0.1420E+03   0.3506259E+02   0.1896086E-02   0.9398874E-01
      0.1430E+03   0.3505877E+02   0.1913818E-02   0.9567740E-01
      0.1440E+03   0.3505486E+02   0.1966892E-02   0.9737604E-01
      0.1450E+03   0.3505057E+02   0.2180383E-02   0.9908421E-01
      0.1460E+03   0.3504627E+02   0.2195420E-02   0.1008017E+00
      0.1470E+03   0.3504196E+02   0.2219461E-02   0.1025285E+00
      0.1480E+03   0.3503713E+02   0.2501981E-02   0.1042639E+00
      0.1490E+03   0.3503231E+02   0.2509760E-02   0.1060080E+00
      0.1500E+03   0.3502749E+02   0.2531198E-02   0.1077604E+00
      0.1510E+03   0.3502215E+02   0.2825539E-02   0.1095209E+00
      0.1520E+03   0.3501674E+02   0.2876837E-02   0.1112891E+00
      0.1530E+03   0.3501134E+02   0.2891078E-02   0.1130648E+00
      0.1540E+03   0.3500543E+02   0.3183521E-02   0.1148477E+00
      0.1550E+03   0.3499940E+02   0.3275397E-02   0.1166376E+00
      0.1560E+03   0.3499335E+02   0.3301307E-02   0.1184341E+00
      0.1570E+03   0.3498683E+02   0.3582112E-02   0.1202372E+00
      0.1580E+03   0.3498008E+02   0.3735576E-02   0.1220462E+00
      0.1590E+03   0.3497332E+02   0.3759219E-02   0.1238611E+00
      0.1600E+03   0.3496614E+02   0.4022966E-02   0.1256815E+00
      0.1610E+03   0.3495859E+02   0.4255199E-02   0.1275073E+00
      0.1620E+03   0.3495103E+02   0.4286590E-02   0.1293379E+00
      0.1630E+03   0.3494312E+02   0.4512729E-02   0.1311732E+00
      0.1640E+03   0.3493466E+02   0.4851814E-02   0.1330130E+00
      0.1650E+03   0.3492622E+02   0.4876345E-02   0.1348567E+00
      0.1660E+03   0.3491750E+02   0.5068582E-02   0.1367043E+00
      0.1670E+03   0.3490805E+02   0.5518501E-02   0.1385554E+00
      0.1680E+03   0.3489861E+02   0.5556691E-02   0.1404097E+00
      0.1690E+03   0.3488899E+02   0.5688105E-02   0.1422669E+00
      0.1700E+03   0.3487842E+02   0.6289253E-02   0.1441266E+00
      0.1710E+03   0.3486785E+02   0.6326249E-02   0.1459887E+00
      0.1720E+03   0.3485725E+02   0.6379047E-02   0.1478528E+00
      0.1730E+03   0.3484540E+02   0.7173779E-02   0.1497185E+00
      0.1740E+03   0.3483357E+02   0.7209917E-02   0.1515857E+00
      0.1750E+03   0.3482172E+02   0.7256713E-02   0.1534539E+00
      0.1760E+03   0.3480859E+02   0.8085132E-02   0.1553230E+00
      0.1770E+03   0.3479530E+02   0.8234064E-02   0.1571925E+00
      0.1780E+03   0.3478202E+02   0.8275133E-02   0.1590622E+00
      0.1790E+03   0.3476748E+02   0.9111025E-02   0.1609318E+00
      0.1800E+03   0.3475255E+02   0.9404479E-02   0.1628010E+00
      0.1810E+03   0.3473762E+02   0.9456726E-02   0.1646694E+00
      0.1820E+03   0.3472149E+02   0.1027816E-01   0.1665368E+00
      0.1830E+03   0.3470468E+02   0.1076618E-01   0.1684028E+00
      0.1840E+03   0.3468787E+02   0.1082501E-01   0.1702673E+00
      0.1850E+03   0.3466996E+02   0.1159772E-01   0.1721298E+00
      0.1860E+03   0.3465099E+02   0.1234967E-01   0.1739900E+00
      0.1870E+03   0.3463202E+02   0.1241607E-01   0.1758477E+00
      0.1880E+03   0.3461209E+02   0.1311580E-01   0.1777025E+00
      0.1890E+03   0.3459062E+02   0.1419850E-01   0.1795542E+00
      0.1900E+03   0.3456916E+02   0.1427363E-01   0.1814025E+00
      0.1910E+03   0.3454694E+02   0.1485181E-01   0.1832470E+00
      0.1920E+03   0.3452257E+02   0.1637607E-01   0.1850874E+00
      0.1930E+03   0.3449821E+02   0.1645545E-01   0.1869234E+00
      0.1940E+03   0.3447340E+02   0.1684966E-01   0.1887548E+00
      0.1950E+03   0.3444565E+02   0.1893713E-01   0.1905814E+00
      0.1960E+03   0.3441792E+02   0.1902824E-01   0.1924026E+00
      0.1970E+03   0.3439014E+02   0.1914945E-01   0.1942183E+00
      0.1980E+03   0.3435843E+02   0.2197539E-01   0.1960283E+00
      0.1990E+03   0.3432673E+02   0.2208028E-01   0.1978320E+00
      0.2000E+03   0.3429503E+02   0.2219124E-01   0.1996294E+00
      0.2010E+03   0.3425923E+02   0.2518923E-01   0.2014201E+00
      0.2020E+03   0.3422285E+02   0.2571666E-01   0.2032038E+00
      0.2030E+03   0.3418649E+02   0.2583776E-01   0.2049802E+00
      0.2040E+03   0.3414597E+02   0.2893265E-01   0.2067491E+00
      0.2050E+03   0.3410409E+02   0.3004760E-01   0.2085102E+00
      0.2060E+03   0.3406221E+02   0.3019417E-01   0.2102632E+00
      0.2070E+03   0.3401624E+02   0.3330762E-01   0.2120078E+00
      0.2080E+03   0.3396782E+02   0.3524579E-01   0.2137437E+00
      0.2090E+03   0.3391942E+02   0.3540884E-01   0.2154708E+00
